"","depress1","depress2","depress3","depress4","depress5","depress6","depress7","depress8","depress9","depress10","depress11","depress12","depress13","depress14","depress15","depress16","depress17","depress18","depress19","depress20","depression","vote18","female","age","educ","hispanic","black","income","married","attend","unemployed","polint","inteff1","inteff2","motivation"
"57","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","0.0","66.0","6.0","1.0","0.0","12.0","1.0","4.0","0.0","1.0","0.5","1.0","0.8333333"
"58","2.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","2.0","2.0","1.0","1.0","2.0","2.0","2.0","1.0","1.0","1.0","1.35","1.0","1.0","51.0","3.0","1.0","0.0","11.0","1.0","2.0","0.0","0.33333334","0.5","0.5","0.44444445"
"59","1.0","1.0","1.0","4.0","1.0","1.0","1.0","4.0","1.0","2.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.4","1.0","1.0","22.0","2.0","1.0","0.0","1.0","0.0","1.0","1.0","0.33333334","0.25","0.5","0.3611111"
"60","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.1","1.0","0.0","70.0","5.0","1.0","0.0","9.0","1.0","1.0","0.0","1.0","0.75","1.0","0.9166667"
"61","4.0","4.0","4.0","4.0","4.0","4.0","3.0","3.0","1.0","4.0","4.0","4.0","2.0","4.0","3.0","3.0","2.0","4.0","2.0","4.0","3.35","0.0","1.0","32.0","2.0","1.0","0.0","5.0","1.0","5.0","0.0","0.0","0.0","0.0","0.0"
"62","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","2.0","2.0","2.0","1.0","2.0","1.0","1.0","2.0","1.0","2.0","1.35","1.0","1.0","64.0","6.0","1.0","0.0","7.0","0.0","1.0","0.0","0.6666667","0.75","1.0","0.8055556"
"63","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.1","0.0","1.0","55.0","6.0","1.0","0.0","12.0","0.0","1.0","0.0","0.0","1.0","1.0","0.6666667"
"64","1.0","1.0","2.0","1.0","1.0","2.0","2.0","1.0","1.0","1.0","1.0","2.0","1.0","2.0","2.0","2.0","2.0","3.0","2.0","3.0","1.65","1.0","1.0","86.0","3.0","1.0","0.0","7.0","0.0","4.0","0.0","1.0","0.0","1.0","0.6666667"
"65","1.0","1.0","1.0","2.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.1","0.0","0.0","23.0","6.0","1.0","0.0","6.0","0.0","1.0","0.0","0.0","0.25","0.0","0.083333336"
"66","3.0","3.0","3.0","3.0","3.0","3.0","1.0","3.0","2.0","2.0","2.0","3.0","2.0","3.0","4.0","2.0","1.0","4.0","2.0","3.0","2.6","1.0","1.0","24.0","6.0","1.0","1.0","10.0","1.0","4.0","0.0","0.6666667","0.25","0.75","0.5555556"
"67","1.0","1.0","1.0","4.0","1.0","1.0","4.0","1.0","1.0","1.0","2.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.0","1.35","0.0","0.0","23.0","2.0","1.0","0.0","2.0","0.0","4.0","0.0","0.0","1.0","0.0","0.33333334"
"68","2.0","1.0","2.0","2.0","2.0","2.0","1.0","2.0","1.0","1.0","2.0","2.0","1.0","1.0","1.0","2.0","2.0","2.0","1.0","2.0","1.6","0.0","1.0","43.0","5.0","1.0","0.0","9.0","1.0","4.0","0.0","0.0","0.0","0.0","0.0"
